datetime,open,high,low,close
2025-09-17 13:00:00,1.18554,1.18576,1.18515,1.18515
2025-09-17 14:00:00,1.18521,1.1855,1.18513,1.18539
2025-09-17 15:00:00,1.18542,1.18596,1.18541,1.18578
2025-09-17 16:00:00,1.18589,1.18596,1.18514,1.18559
2025-09-17 17:00:00,1.18558,1.18559,1.18381,1.18405
2025-09-17 18:00:00,1.18404,1.18511,1.18399,1.1848
2025-09-17 19:00:00,1.18484,1.18497,1.1841,1.18455
2025-09-17 20:00:00,1.18453,1.18468,1.18327,1.18362
2025-09-17 21:00:00,1.18363,1.1846,1.1835,1.18391
2025-09-17 22:00:00,1.18387,1.18449,1.1834,1.18434
2025-09-17 23:00:00,1.18441,1.18528,1.18423,1.18499
2025-09-18 00:00:00,1.18502,1.1859,1.1846,1.18496
2025-09-18 01:00:00,1.18495,1.18526,1.18436,1.18449
2025-09-18 02:00:00,1.18443,1.18562,1.18424,1.18531
2025-09-18 03:00:00,1.1853,1.18552,1.18469,1.1851
2025-09-18 04:00:00,1.18515,1.19183,1.1819,1.18341
2025-09-18 05:00:00,1.18345,1.18565,1.18206,1.18244
2025-09-18 06:00:00,1.18249,1.18274,1.18078,1.18128
2025-09-18 07:00:00,1.18122,1.18152,1.18113,1.18134
2025-09-18 08:00:00,1.18152,1.1822,1.18125,1.18189
2025-09-18 09:00:00,1.18192,1.18288,1.18178,1.18252
2025-09-18 10:00:00,1.18258,1.18282,1.1815,1.18251
2025-09-18 11:00:00,1.1825,1.18287,1.18076,1.18136
2025-09-18 12:00:00,1.18137,1.18223,1.18126,1.18194
2025-09-18 13:00:00,1.18192,1.18227,1.18125,1.18128
2025-09-18 14:00:00,1.18122,1.18136,1.17937,1.1795
2025-09-18 15:00:00,1.17951,1.18002,1.1786,1.17907
2025-09-18 16:00:00,1.17908,1.17994,1.17806,1.17943
2025-09-18 17:00:00,1.17941,1.18387,1.17937,1.18317
2025-09-18 18:00:00,1.18318,1.18341,1.1821,1.18277
2025-09-18 19:00:00,1.1828,1.18482,1.1827,1.1838
2025-09-18 20:00:00,1.18379,1.18401,1.1831,1.18367
2025-09-18 21:00:00,1.1837,1.1837,1.18198,1.18251
2025-09-18 22:00:00,1.18251,1.18257,1.17953,1.17955
2025-09-18 23:00:00,1.17944,1.17961,1.17503,1.17671
2025-09-19 00:00:00,1.1766,1.17812,1.17629,1.17755
2025-09-19 01:00:00,1.17756,1.17876,1.17694,1.17795
2025-09-19 02:00:00,1.17792,1.17878,1.17722,1.17869
2025-09-19 03:00:00,1.1787,1.17937,1.17858,1.17876
2025-09-19 04:00:00,1.17875,1.17895,1.1782,1.17878
2025-09-19 05:00:00,1.17874,1.17911,1.17826,1.17848
2025-09-19 06:00:00,1.1785,1.17867,1.17812,1.17859
2025-09-19 07:00:00,1.17849,1.17874,1.17847,1.17867
2025-09-19 08:00:00,1.17856,1.17895,1.17841,1.17867
2025-09-19 09:00:00,1.17865,1.17906,1.17864,1.17889
2025-09-19 10:00:00,1.17885,1.17905,1.17752,1.17865
2025-09-19 11:00:00,1.17866,1.17867,1.17744,1.17753
2025-09-19 12:00:00,1.1775,1.17806,1.1772,1.17795
2025-09-19 13:00:00,1.17802,1.17924,1.17802,1.17819
2025-09-19 14:00:00,1.17818,1.17897,1.17705,1.17739
2025-09-19 15:00:00,1.17738,1.17777,1.17709,1.17731
2025-09-19 16:00:00,1.1773,1.17775,1.17633,1.17665
2025-09-19 17:00:00,1.17668,1.17781,1.17574,1.177
2025-09-19 18:00:00,1.17698,1.17708,1.17513,1.1761
2025-09-19 19:00:00,1.17609,1.17687,1.17563,1.17595
2025-09-19 20:00:00,1.17595,1.1765,1.17585,1.1761
2025-09-19 21:00:00,1.17614,1.17621,1.17351,1.17367
2025-09-19 22:00:00,1.17369,1.17432,1.17288,1.1736
2025-09-19 23:00:00,1.1736,1.17637,1.17355,1.17582
2025-09-20 00:00:00,1.1758,1.17677,1.1756,1.17569
2025-09-20 01:00:00,1.17571,1.17591,1.17372,1.17521
2025-09-20 02:00:00,1.17523,1.17551,1.17411,1.17531
2025-09-20 03:00:00,1.1753,1.1755,1.17486,1.17507
2025-09-20 04:00:00,1.17506,1.17512,1.17468,1.17481
2025-09-20 05:00:00,1.17477,1.17507,1.17452,1.17476
2025-09-20 06:00:00,1.17476,1.17478,1.17406,1.17442
2025-09-20 07:00:00,1.17442,1.17442,1.17442,1.17442
2025-09-20 08:00:00,1.17442,1.17442,1.17442,1.17442
2025-09-22 09:00:00,1.17408,1.17415,1.17358,1.17365
2025-09-22 10:00:00,1.17358,1.17378,1.17261,1.17344
2025-09-22 11:00:00,1.17348,1.1741,1.17318,1.17323
2025-09-22 12:00:00,1.17325,1.17336,1.17273,1.17279
2025-09-22 13:00:00,1.17279,1.17348,1.17279,1.17322
2025-09-22 14:00:00,1.17322,1.17322,1.17264,1.17306
2025-09-22 15:00:00,1.17303,1.17385,1.17298,1.17385
2025-09-22 16:00:00,1.17384,1.17485,1.17361,1.17432
2025-09-22 17:00:00,1.17434,1.17542,1.17391,1.17485
2025-09-22 18:00:00,1.17483,1.17691,1.17469,1.17623
2025-09-22 19:00:00,1.17624,1.1776,1.17615,1.17759
2025-09-22 20:00:00,1.17759,1.17857,1.17738,1.17741
2025-09-22 21:00:00,1.17738,1.17821,1.17694,1.17781
2025-09-22 22:00:00,1.17786,1.17871,1.17733,1.17831
2025-09-22 23:00:00,1.17838,1.17876,1.17687,1.17767
2025-09-23 00:00:00,1.17766,1.1777,1.17628,1.17697
2025-09-23 01:00:00,1.17696,1.17753,1.17642,1.17726
2025-09-23 02:00:00,1.1772,1.179,1.17714,1.17881
2025-09-23 03:00:00,1.17883,1.17968,1.17859,1.17966
2025-09-23 04:00:00,1.17962,1.1799,1.17923,1.17964
2025-09-23 05:00:00,1.17964,1.18021,1.17954,1.17997
2025-09-23 06:00:00,1.17999,1.18037,1.1798,1.18034
2025-09-23 07:00:00,1.18027,1.18027,1.1789,1.1798
2025-09-23 08:00:00,1.17976,1.18036,1.17976,1.18009
2025-09-23 09:00:00,1.18013,1.18027,1.17995,1.18005
2025-09-23 10:00:00,1.18005,1.18074,1.17968,1.18062
2025-09-23 11:00:00,1.1806,1.18198,1.18041,1.18147
2025-09-23 12:00:00,1.18147,1.18166,1.18016,1.18043
2025-09-23 13:00:00,1.18042,1.18078,1.17966,1.18055
