run_id,time_utc,symbol,tf,type,score,bias,entry,stop,target,why,cadence_min,watchlist,engine
4927723c,2025-10-09 10:57:12Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
4927723c,2025-10-09 10:57:15Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
4927723c,2025-10-09 10:57:21Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
8a877f4c,2025-10-09 11:02:04Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
8a877f4c,2025-10-09 11:02:11Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
8a877f4c,2025-10-09 11:02:14Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
8a877f4c,2025-10-09 11:02:19Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
a88a9a6e,2025-10-09 11:07:05Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
a88a9a6e,2025-10-09 11:07:12Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
a88a9a6e,2025-10-09 11:07:15Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
a88a9a6e,2025-10-09 11:07:20Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
bd35700b,2025-10-09 11:12:05Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
bd35700b,2025-10-09 11:12:15Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
bd35700b,2025-10-09 11:12:19Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
bd35700b,2025-10-09 11:12:25Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
06151fbc,2025-10-09 11:17:05Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
06151fbc,2025-10-09 11:17:12Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
06151fbc,2025-10-09 11:17:15Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
06151fbc,2025-10-09 11:17:20Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
69f36889,2025-10-09 11:22:06Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
69f36889,2025-10-09 11:22:13Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
69f36889,2025-10-09 11:22:16Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
69f36889,2025-10-09 11:22:21Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6de19320,2025-10-09 11:27:07Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
6de19320,2025-10-09 11:27:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
6de19320,2025-10-09 11:27:17Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
6de19320,2025-10-09 11:27:23Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
35357b7e,2025-10-09 11:32:07Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
35357b7e,2025-10-09 11:32:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
35357b7e,2025-10-09 11:32:17Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
35357b7e,2025-10-09 11:32:22Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
9d82444d,2025-10-09 11:37:07Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
9d82444d,2025-10-09 11:37:14Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
9d82444d,2025-10-09 11:37:17Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
9d82444d,2025-10-09 11:37:22Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
53973647,2025-10-09 11:42:08Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
53973647,2025-10-09 11:42:19Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
53973647,2025-10-09 11:42:36Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
53973647,2025-10-09 11:43:06Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
376034b8,2025-10-09 11:47:08Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
376034b8,2025-10-09 11:47:17Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
376034b8,2025-10-09 11:47:20Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
376034b8,2025-10-09 11:47:27Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
da750ff3,2025-10-09 11:52:09Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
da750ff3,2025-10-09 11:52:20Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
da750ff3,2025-10-09 11:52:24Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
da750ff3,2025-10-09 11:52:32Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
05ffbf05,2025-10-09 11:57:09Z,,5min,heartbeat,,,,,,,30,"EURUSD,XAUUSD",v2b
05ffbf05,2025-10-09 11:57:16Z,,,ping,,,,,,yfinance ok=False code=500 empty,30,"EURUSD,XAUUSD",v2b
05ffbf05,2025-10-09 11:57:19Z,EURUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
05ffbf05,2025-10-09 11:57:24Z,XAUUSD,5min,ok,0,0,,,,no data,30,"EURUSD,XAUUSD",v2b
